"Dalkin, James",4.0,100%,2.5
"Petacchi, Reining",4.7,90%,3.4
"Simon, Nina",3.9,82%,2.9
"Cooke, Thomas",4.6,83%,2.4
"Zotova, Viktoriya",0.0,N/A,0
"Kitching, Karen",3.6,62%,3.5
"Anderson, Kirsten",3.8,83%,3.6
"Nguyen, April",3.0,50%,4
"Rouchard, Mark",5.0,100%,3
"Hilary, Gilles",0.0,N/A,0
"Koester, Allison",4.8,100%,3.6
"Patterson, Robert",2.8,36%,3.5
"White, Melanie",2.0,N/A,3
"Ndubuizu, Rosemary",4.3,83%,4.3
"Adams, Brienne",0.0,N/A,0
"Robinson, Zandria",4.0,100%,2.8
"Gore, Dayo",3.5,N/A,3.7
"Gonzalez, Anita",2.7,N/A,2.8
"Mitchell, Angelyn",4.6,75%,2.8
"Muaka, Leonard",4.3,100%,3
"Otu, Kwame",0.0,100%,0
"Inman, Kris",4.7,100%,2.3
"Park, Yoon",5.0,100%,2.8
"Tilan, Jason",2.5,39%,4
"Sherman, Thomas",3.0,100%,3.3
"Linkon, Sherry",4.0,100%,2
"Seamon, Erika",5.0,100%,3.2
"Weissenstein, Colva",5.0,100%,2
"Ibrahim, Amrita",4.3,88%,2.2
"Benessaiah, Nejm",4.1,93%,2.4
"King-Irani, Laurie",3.6,77%,1.4
"Onder, Sylvia",4.0,72%,2.8
"Pearson, Heath",3.7,N/A,3.5
"Bickford, Andrew",5.0,100%,2.5
"Brennan, Denise",4.4,75%,3.1
"Jebnoun, Noureddine",0.0,N/A,0
"Adely, Fida",0.0,N/A,0
"Davis, Rochelle",3.8,100%,3.1
"Perry, Jackson",4.0,100%,2
"Al Ali, Ghayda",3.7,64%,4.4
"Alzoubi, Elham",5.0,100%,3.6
"Kilany, Hanaa",3.9,75%,4.1
"Al-Mufti, Huda",3.6,100%,3.5
"Hariry, Seerwan",5.0,100%,2
"Zabarah, Hana",4.8,100%,3.8
"Chamseddine, Abdul Rahman",3.0,0%,3
"Fazza, Hany",4.0,100%,3
"Baccouche, Belkacem",3.5,50%,3.7
"Mohamed, Yehia",4.3,100%,2.7
"Khalifah, Omar",5.0,100%,3.5
"Alqassas, Ahmad",3.0,100%,1
"Stetkevych, Suzanne",3.1,0%,2.8
"Opwis, Felicitas",4.0,100%,3
"Colla, Elliott",3.5,72%,3.7
"Yu, Ji",2.5,0%,3
"Hutchison, Scott",4.7,100%,2.2
"Schlesinger, Ann",4.0,100%,1
"Barnhart, Scip",4.8,100%,1.1
"Carr-Shaffer, Kelly",4.9,100%,1.8
"Mckaig, Bruce",2.1,15%,3.5
"Bocci, Roberto",3.5,100%,3.4
"Reed, Evan",4.1,100%,2.4
"Sandberg, Erik",4.1,64%,3.1
"Dowley, Michael",0.0,100%,0
"Nahidian, Negar",0.0,100%,0
"Sangastiano, Toni-Lee",0.0,N/A,0
"Kelly, Elyse",5.0,100%,3
"Robinson, Elizabeth Brady",4.0,50%,2
"Keesling, Catherine",4.6,93%,2.6
"Tilney, Barrett",4.7,100%,2.3
"Huezo, Andrea",5.0,100%,3.5
"Acres, Al",4.9,100%,2.7
"Hunt, Tiffany",1.3,N/A,4.7
"Bourland, William",0.0,100%,0
"Rufino, Stephanie",4.0,100%,2
"Lee, Jungsil",2.5,50%,4
"Prelinger, Elizabeth",4.1,100%,2.9
"Wang, Michelle",4.4,78%,2.6
"Strong, Lisa",1.9,0%,4.1
"Looney, Kristen",4.3,100%,3
"Van Hollen, Cecilia",3.2,100%,2.6
"Sodhy, Pamela",3.8,80%,2
"Wilder, Dennis",5.0,100%,2.5
"Tajima, Yuhki",4.9,N/A,2.2
"Ali, Tariq",5.0,100%,2
"Lee, Yeonju",4.0,50%,3.5
"Cha, Victor",3.6,50%,3.3
"Hammer, Alexander",5.0,100%,4
"Medeiros, Evan",3.0,75%,4
"Brown, Gregory",4.5,100%,2.5
"Tidwell, Alan",4.6,100%,2
"Mullen, John",4.0,100%,1
"Dym, Martin",4.0,100%,2.6
"Jones, Jessica",0.0,N/A,0
"Martin, Mary",0.0,N/A,0
"Girgis, Michael",4.2,67%,3.3
"Schmidt, Marcel",5.0,N/A,1.7
"Johnson, Michael",0.0,N/A,0
"Suter, Robert",5.0,N/A,3
"Al-Ali, Rasha",4.9,100%,3
"Rosenthal, Dean",0.0,N/A,0
"Rosenthal, Cynthia",4.5,N/A,1.9
"Chang, Esther",0.0,N/A,0
"John, Sinu",0.0,N/A,0
"Amri, Hakima",0.0,N/A,0
"Nair, Sreejith",5.0,100%,3
"Bray, Mike",4.6,100%,1.9
"Steen, Tomoko",0.0,N/A,0
"Duvall, Christopher",4.1,75%,3
"Carus, Seth",5.0,N/A,3
"Stiefel, David",0.0,100%,0
